# Vertical Speed control: 0 m/s -> 2.5 m/s and Airspeed: 230 m/s
# Column headers are:
# - T: simulation time [s] 
# - Va: airspeed [m/s]
# - az: normal acceleration [m/s^2] 
# - q: pitch rate [rad/s] 
# - Vz: vertical speed [m/s] 
# - h: altitude [m] 
# - delta_th_c: commanded throttle [-] 
# - delta_e_c: commanded elevator deflection [rad] 
# T, Va, Az, q, Vz, h, delta_th_c, delta_e_c
0.0000,230.000015258789062,0.053991317749023,0.000000000000000,0.000000000000000,10000.000000000000000,113.553878784179687,0.012009616009891
1.0000,230.000717163085937,0.048567771911621,0.001353949075564,0.002593994140625,10000.000000000000000,115.844795227050781,0.011695943772792
2.0000,230.001388549804687,0.034820556640625,0.002674958202987,0.004729747772216,10000.000000000000000,118.135719299316406,0.011382272467017
3.0000,230.002014160156250,0.013193130493164,0.003959761932492,0.005999088287353,10000.000000000000000,120.426635742187500,0.011068601161241
4.0000,230.002548217773437,-0.015853881835937,0.005205383524298,0.006020545959472,10000.000000000000000,122.717559814453125,0.010754930786788
5.0000,230.002960205078125,-0.051862716674804,0.006409130990505,0.004434585571289,10000.000000000000000,125.008483886718750,0.010441259481012
6.0000,230.003250122070312,-0.094365119934082,0.007568591274321,0.000901222229003,10000.000000000000000,127.299407958984375,0.010127588175237
7.0000,230.003356933593750,-0.142899513244628,0.008681628853082,-0.004889965057373,10000.000000000000000,129.590332031250000,0.009813916869461
8.0000,230.003265380859375,-0.196996688842773,0.009746383875608,-0.013231277465820,10000.000000000000000,131.881256103515625,0.009500245563685
9.0000,230.002975463867187,-0.256194114685058,0.010761256329715,-0.024388790130615,10000.000000000000000,134.172180175781250,0.009186573326587
10.0000,230.002426147460937,-0.320028305053710,0.011724904179573,-0.038606166839599,10000.000000000000000,136.463104248046875,0.008872901089489
11.0000,230.001602172851562,-0.388043403625488,0.012636241503059,-0.056103706359863,10000.000000000000000,138.754028320312500,0.008559227921068
12.0000,230.000503540039062,-0.459794044494628,0.013494418002665,-0.077082633972167,10000.000000000000000,141.044937133789062,0.008245555683970
13.0000,229.999084472656250,-0.534833908081054,0.014298824593424,-0.101713657379150,10000.000976562500000,143.335845947265625,0.007931883446872
14.0000,229.997329711914062,-0.612716674804687,0.015049076639115,-0.130154609680175,10000.010742187500000,145.626754760742187,0.007618210278451
15.0000,229.995208740234375,-0.693036079406738,0.015745002776384,-0.162536621093750,10000.020507812500000,147.917648315429687,0.007304537575691
16.0000,229.992706298828125,-0.775373458862304,0.016386641189455,-0.198970794677734,10000.030273437500000,150.208572387695312,0.006990864872932
17.0000,229.989837646484375,-0.859334945678711,0.016974223777651,-0.239546298980712,10000.040039062500000,152.499465942382812,0.006677192170172
18.0000,229.986541748046875,-0.944532394409179,0.017508173361420,-0.284336090087890,10000.049804687500000,154.790390014648437,0.006363519933074
19.0000,229.982818603515625,-1.030576705932617,0.017989084124565,-0.333390235900878,10000.067382812500000,157.081283569335937,0.006049847230315
20.0000,229.978652954101562,-1.117122650146484,0.018417719751596,-0.386744499206543,10000.086914062500000,159.372192382812500,0.005736174527555
21.0000,229.974044799804687,-1.203824996948242,0.018794998526573,-0.444416046142578,10000.106445312500000,161.663101196289062,0.005422501824796
22.0000,229.968978881835937,-1.290361404418945,0.019121972844004,-0.506399154663085,10000.127929687500000,163.954010009765625,0.005108829122036
23.0000,229.963424682617187,-1.376401901245117,0.019399845972657,-0.572682380676269,10000.157226562500000,166.244918823242187,0.004795156884938
24.0000,229.957397460937500,-1.461667060852050,0.019629932940006,-0.643229484558105,10000.186523437500000,168.535827636718750,0.004481484182178
25.0000,229.950866699218750,-1.545868873596191,0.019813662394881,-0.717993736267089,10000.219726562500000,170.826736450195312,0.004167811479419
26.0000,229.943847656250000,-1.628749847412109,0.019952563568949,-0.796918869018554,10000.258789062500000,173.117645263671875,0.003854139242321
27.0000,229.936325073242187,-1.710071563720703,0.020048258826136,-0.879926681518554,10000.297851562500000,175.408554077148437,0.003540466073900
28.0000,229.928268432617187,-1.789584159851074,0.020102450624108,-0.966938018798828,10000.346679687500000,177.699462890625000,0.003226793836802
29.0000,229.919708251953125,-1.867104530334472,0.020116904750466,-1.057856559753417,10000.395507812500000,179.990371704101562,0.002913120668381
30.0000,229.910644531250000,-1.942418098449707,0.020093457773327,-1.152572631835937,10000.452148437500000,182.281280517578125,0.002599448431283
31.0000,229.901062011718750,-2.015367507934570,0.020033996552228,-1.250977516174316,10000.510742187500000,184.572189331054687,0.002285776194185
32.0000,229.890991210937500,-2.085786819458007,0.019940443336963,-1.352941513061523,10000.577148437500000,186.863082885742187,0.001972103957086
33.0000,229.880386352539062,-2.153531074523925,0.019814753904938,-1.458336830139160,10000.645507812500000,189.154006958007812,0.001658437424339
34.0000,229.869262695312500,-2.218477249145507,0.019658908247947,-1.567026138305664,10000.722656250000000,191.444900512695312,0.001344770775176
35.0000,229.857635498046875,-2.280518531799316,0.019474906846880,-1.678864479064941,10000.801757812500000,193.735824584960937,0.001031104126013
36.0000,229.845520019531250,-2.339559555053710,0.019264748319983,-1.793705940246582,10000.889648437500000,196.026718139648437,0.000717437476851
37.0000,229.832901000976562,-2.395519256591796,0.019030438736081,-1.911400794982910,10000.981445312500000,198.317642211914062,0.000403770827688
38.0000,229.819778442382812,-2.448339462280273,0.018773972988128,-2.031785011291503,10001.079101562500000,200.608535766601562,0.000090104171249
39.0000,229.806198120117187,-2.497970581054687,0.018497327342629,-2.154706001281738,10001.184570312500000,202.899459838867187,-0.000223562485189
40.0000,229.792114257812500,-2.544379234313964,0.018202466890215,-2.280000686645507,10001.293945312500000,205.190353393554687,-0.000537229119800
41.0000,229.777587890625000,-2.587541580200195,0.017891317605972,-2.407505035400390,10001.411132812500000,207.481262207031250,-0.000850895768962
42.0000,229.762573242187500,-2.627455711364746,0.017565779387950,-2.537056922912597,10001.535156250000000,209.772171020507812,-0.001164562418125
43.0000,229.747131347656250,-2.664119720458984,0.017227707430720,-2.668496131896972,10001.664062500000000,212.063079833984375,-0.001478229067288
44.0000,229.731246948242187,-2.697546958923339,0.016878919675946,-2.801657676696777,10001.800781250000000,214.353988647460937,-0.001791895716451
45.0000,229.714935302734375,-2.727770805358886,0.016521181911230,-2.936388015747070,10001.944335937500000,216.644912719726562,-0.002105562482029
46.0000,229.698226928710937,-2.754830360412597,0.016156205907464,-3.072515487670898,10002.093750000000000,218.935897827148437,-0.002419229131191
47.0000,229.681091308593750,-2.778767585754394,0.015785649418830,-3.209892272949218,10002.250000000000000,221.226852416992187,-0.002732895780354
48.0000,229.663558959960937,-2.799632072448730,0.015411114320158,-3.348356246948242,10002.415039062500000,223.517837524414062,-0.003046562429517
49.0000,229.645645141601562,-2.817506790161132,0.015034131705760,-3.487758636474609,10002.584960937500000,225.808792114257812,-0.003360229078680
50.0000,229.627365112304687,-2.832449913024902,0.014656172133982,-3.627952575683593,10002.761718750000000,228.099777221679687,-0.003673895727843
51.0000,229.608734130859375,-2.844549179077148,0.014278638176620,-3.768794059753418,10002.947265625000000,230.390731811523437,-0.003987561445683
52.0000,229.589721679687500,-2.853881835937500,0.013902860693633,-3.910139083862304,10003.139648437500000,232.681701660156250,-0.004301229026168
53.0000,229.570373535156250,-2.860543251037597,0.013530103489756,-4.051856040954589,10003.337890625000000,234.972671508789062,-0.004614894744008
54.0000,229.550720214843750,-2.864643096923828,0.013161555863916,-4.193810462951660,10003.542968750000000,237.263641357421875,-0.004928562324494
55.0000,229.530731201171875,-2.866266250610351,0.012798331677913,-4.335877418518066,10003.756835937500000,239.554611206054687,-0.005242228042334
56.0000,229.510437011718750,-2.865527153015136,0.012441475875675,-4.477935791015625,10003.976562500000000,241.845581054687500,-0.005555895622819
57.0000,229.489868164062500,-2.862535476684570,0.012091957032680,-4.619872093200683,10004.203125000000000,244.136550903320312,-0.005869561340659
58.0000,229.468978881835937,-2.857396125793457,0.011750667355954,-4.761573791503906,10004.437500000000000,246.427520751953125,-0.006183228921145
59.0000,229.447830200195312,-2.850236892700195,0.011418431065976,-4.902939796447753,10004.679687500000000,248.718490600585937,-0.006496894638985
60.0000,229.426437377929687,-2.841165542602539,0.011095994152128,-5.043870925903320,10004.927734375000000,251.009460449218750,-0.006810562219470
61.0000,229.404754638671875,-2.830302238464355,0.010784032754600,-5.184274673461914,10005.181640625000000,253.300430297851562,-0.007124227937310
62.0000,229.382827758789062,-2.817760467529296,0.010483151301741,-5.324064254760742,10005.445312500000000,255.591384887695312,-0.007437895517796
63.0000,229.360687255859375,-2.803673744201660,0.010193885304033,-5.463160514831543,10005.714843750000000,257.882324218750000,-0.007751561235636
